Organization,Role,Date,User
Graphic Designer,Enactus,Jan 2018 - May 2018 · 5 mos,ahmed-zakaria-20184a146
Instructor(Kubernetes),Information Technology Institute (ITI),Dec 2021 - Jan 2022 · 2 mos,ahmed-zakaria-20184a146
PR Volunteer,IEEE Egypt Section,Sep 2016 - Jun 2017 · 10 mos,ahmedabdallahnasr
Organizer,Cairo International Book Fair,Jan 2017 - Feb 2017 · 2 mos,ahmedabdallahnasr
Student Volunteer,Intel International Science and Engineering Fair,Jan 2016 - Jan 2019 · 3 yrs,ahmedabuamra
DSC Lead,Google Developers,Nov 2019 - Feb 2020 · 4 mos,ahmedabuamra
Mentor,CAT Reloaded,Sep 2020 - Sep 2021 · 1 yr 1 mo,ahmedeltaweel
Mentor,LintSchool,Jan 2020 - Mar 2020 · 3 mos,ahmedeltaweel
Instructor,TeamYea Coworking Space,Aug 2019 - Present · 3 yrs 9 mos,ahmedeltaweel
Team lead Usher,Misr International University,Jul 2014 - Dec 2018 · 4 yrs 6 mos,ahmedessam-12
Executive Member,مشروع السعادة - Mashrou ElSaada,May 2018 - Apr 2019 · 1 yr,ahmedessam-12
Founding Member,كالبنيان المرصوص,Jul 2021 - Present · 1 yr 10 mos,ahmedfathykhalid
Instructor,Cairo University,Jun 2007 - Jun 2010 · 3 yrs 1 mo,ahmedfathykhalid
Member,CAT Reloaded,Jan 2016 - Jun 2019 · 3 yrs 6 mos,ahmedkhames
Head of Public Relations,ACM Student Chapter - Alexandria University,Aug 2017 - Oct 2018 · 1 yr 3 mos,ahmednasser23
Operations Team Member,MSP Tech Club - Alexandria University,Jul 2016 - Jun 2017 · 1 yr,ahmednasser23
General Rapporteur - Volunteer,Bader Initiative - Youth Association for Population and Development (YAPD),Jan 2005 - Jan 2006 · 1 yr,ahmednmahran
Robotics Team Lead &amp; Electrical Technical Director,Cairo Uni Racing Team - Formula Student,Sep 2019 - Aug 2020 · 1 yr,ahmedosama9777
Embedded Systems Team Lead,Cairo Uni Racing Team - Formula Student,Aug 2018 - Aug 2019 · 1 yr 1 mo,ahmedosama9777
Instructor at Cairo University - Faculty of Engineering ACM-ICPC Chapter,ICPC - International Collegiate Programming Contest,Sep 2017 - Jun 2020 · 2 yrs 10 mos,ahmibr68
Graphic Designer,Life Makers Foundation,Jan 2014 · 1 mo,aielawady
Technical Vice Manager,IEEE Cairo University Student Branch,Aug 2019 - Jul 2020 · 1 yr,akabdelrahman
Technical Director,BEAT,Sep 2018 - May 2019 · 9 mos,akabdelrahman
Python Instructor,Embedded Systems Laboratory | ESL,Sep 2018 - Feb 2019 · 6 mos,akabdelrahman
Reading Tutor,African Hope Learning Center,Aug 2021 - Jan 2022 · 6 mos,alaa-mady-7a8aa51a8
متابعة,Life Makers Foundation,Mar 2018 - Present · 5 yrs 2 mos,alaa-moustapha
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Sep 2015 - Present · 7 yrs 8 mos,alaagamaall
Technical Support Staff,IEEE,Jan 2018 - Jun 2019 · 1 yr 6 mos,ali-harby-4103b7169
IT Manager,Life Makers Foundation,Jan 2018 - Jun 2020 · 2 yrs 6 mos,ali-harby-4103b7169
Instructor,Pixels Helwan university,Nov 2014 - Present · 8 yrs 6 mos,aliabdelaal
Academic member,3C,Education,aliabdelaal
Instructor,Be Positive,Education,aliabdelaal
Software Programming Instructor,IEEE,Dec 2016 - May 2017 · 6 mos,alielsherbiny
Shell scripting instructor,Embedded Systems Laboratory | ESL,Dec 2017 - Apr 2018 · 5 mos,alielsherbiny
Co-Chairman,TEDxYouth@SIS,Aug 2017 - Nov 2019 · 2 yrs 4 mos,alimagedayad
President,TKH Robotics,Oct 2020 - Present · 2 yrs 7 mos,alimagedayad
Art Teacher,SOS,Jan 2010 - Present · 13 yrs 4 mos,alyeldegwy
Jonior Hardware Engineer,IEEE,Nov 2018 - May 2019 · 7 mos,aman-allah-rafat
Teacher,Alashanek Ya Balady Association for Sustainable Development,Nov 2018 - May 2019 · 7 mos,aman-allah-rafat
Human Resources Team Member,Fekra,Oct 2014 - Sep 2015 · 1 yr,amina-gaber-088026a5
Head Of Human Resources,Fekra,Oct 2015 - Sep 2016 · 1 yr,amina-gaber-088026a5
IT Member,Draw Your Future,Jan 2016 - Present · 7 yrs 4 mos,amira-ashmawy-247252a1
Human Resources Member,Fekra,Jan 2014 - Jan 2015 · 1 yr,amira-ashmawy-247252a1
Head IT,IEEE Computer Society,Jun 2016 - Jul 2017 · 1 yr 2 mos,amira-atef-7a90a5156
Head Of Human Resources,TNT-Suez Canal University,Jan 2016 - Jan 2019 · 3 yrs,amiramohkamal
Team member in Orphans and the elderly committee,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Jan 2012 - Jan 2015 · 3 yrs,amiramohkamal
volunteer for blood donation awareness.,Takatof Charity Organization,Jan 2017 - Jan 2020 · 3 yrs,amiramohkamal
Instructor,Viva el Español,Feb 2017 - Jan 2020 · 3 yrs,ammar21
Founder &amp; Lead,DSC Cairo University - Faculty of Engineering,Jul 2020 - Jul 2021 · 1 yr 1 mo,ammar21
Mentor,"ACM, Association for Computing Machinery",Education,amoharib
Electrical Team Lead,Aquaphoton Academy,Sep 2019 - Sep 2020 · 1 yr 1 mo,amrmustafa97
Embedded Software Engineer,Aquaphoton Academy,Sep 2018 - Apr 2019 · 8 mos,amrmustafa97
Academic Committee Member,SSP Society,Apr 2017 - Jan 2018 · 10 mos,amrmustafa97
Public Relations member,Fekra,Jan 2015 - Jan 2016 · 1 yr,amrtarekmo
High School Teacher,AIESEC,Jul 2014 - Sep 2014 · 3 mos,antoun-wagdy-025443b6
Project Manager,Aviation CLUB EG,Sep 2016 - Apr 2017 · 8 mos,asmaa-salem-a11741124
Moderator,Aviation CLUB EG,Jan 2016 - Aug 2016 · 8 mos,asmaa-salem-a11741124
Greek Building Workshops Leader,Egypt Career Summit,Mar 2020 · 1 mo,aya-el-ashry
Participant in MECA academy,MECA EGYPT,Feb 2020 - Apr 2020 · 3 mos,aya-el-ashry
Stage Organizer,Egypt Career Summit,Mar 2019 · 1 mo,aya-el-ashry
Former Media &amp; marketing member,EED Society,Mar 2017 - Oct 2017 · 8 mos,aya-hussein-19a359134
Former Vice Chairman,EED Society,Aug 2016 - Mar 2017 · 8 mos,aya-hussein-19a359134
Former OC member,EED Society,Aug 2015 - Aug 2016 · 1 yr 1 mo,aya-hussein-19a359134
قوافل داخلية,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,,ayaelsayed
Organization team,CECE (Communication and Electronics club for engineers),Jan 2011 - Jan 2013 · 2 yrs,ayaelsayed
HR Member,Utopia,Jan 2012 - Jan 2013 · 1 yr,ayaelsayed
Volunteer,INJAZ Egypt,Mar 2013 - May 2013 · 3 mos,ayah-elmaghraby
Blood Donation Campaign Volunteer,Mentor Graphics,Oct 2012 - Present · 10 yrs 7 mos,ayah-elmaghraby
Mentor,Global Mentorship Initiative,Oct 2022 - Present · 7 mos,ayatoullah-ramzy
Student Volunteer,IEEE,Jan 2013 - Jan 2015 · 2 yrs,ayman-aladdin-1012
web design member,KVector,Jun 2018 - Present · 4 yrs 11 mos,bahaa-el-deen-b71902156
Social Media,IEEE Helwan SB,Jan 2017 - Jan 2018 · 1 yr,bassant-sayed-714801187
Software Developement Volunteer,IEEE AlexSB,Sep 2016 - Jan 2017 · 5 mos,bassent-abuzeid-28178b128
Membership Development Volunteer,IEEE AlexSB,Oct 2016 - Present · 6 yrs 7 mos,bassent-abuzeid-28178b128
Human Resource Volunteer,IEEE AlexSB,Oct 2017 - Present · 5 yrs 7 mos,bassent-abuzeid-28178b128
Vice Chairman,IEEE Fayoum Student Branch,Sep 2019 - Present · 3 yrs 8 mos,belal-abdelnasser-04
Vice-Head Project management committee,IEEE Fayoum Student Branch,Apr 2019 - Aug 2019 · 5 mos,belal-abdelnasser-04
Project Manager,IEEE Fayoum Student Branch,Aug 2018 - Mar 2019 · 8 mos,belal-abdelnasser-04
Server,صناع الحياه,Jul 2017 - Oct 2017 · 4 mos,belal-elgendy-328688113
Social Media Manager,Flickers,Dec 2015 - Dec 2016 · 1 yr 1 mo,beshoy-samy-227855110
Web Development Team Lead,CAT Reloaded,Nov 2017 - Jun 2018 · 8 mos,bishoyatif
AC volunteer,Feكra,Jan 2014 - Present · 9 yrs 4 mos,dalia-mooh
Member of Project Management Team,Enactus,Feb 2020 - May 2021 · 1 yr 4 mos,derbalajr
Vice Head of Project Management Team,Enactus,Sep 2021 - Apr 2022 · 8 mos,derbalajr
Media Specialist,Fantastic Engineers,Oct 2017 - Jun 2020 · 2 yrs 9 mos,devibrahimhamed
Ambassador,Osboha 180,Oct 2017 - Jul 2018 · 10 mos,devibrahimhamed
PR,IEEE,Education,dibo
OC,"MOIC ""​ Model Organization Of Islamic Co-operation""​ Egypt",,dibo
Founder,Digital community,Science and Technology,dibo
